Current Standard Occupation Code|Current Job Title|Match Standard Occupation Code|Match Job Title|Match Rank|Base Employment|Total Job Openings|Median Hourly Wage|Median Annual Wage|Entry Level Education|Work Experience|Job Training|Location
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|11-1021|General and Operations Managers|8|18600|18610|62.75|130533|Bachelor's degree|5 years or more|None|Contra Costa
49-1011.00|First-Line Supervisors of Mechanics, Installers, and Repairers|11-3051|Industrial Production Managers|1|1650|1400|65.59|136422|Bachelor's degree|5 years or more|None|Contra Costa
51-1011.00|First-Line Supervisors of Production and Operating Workers|11-3051|Industrial Production Managers|1|1650|1400|65.59|136422|Bachelor's degree|5 years or more|None|Contra Costa
51-9198.00|Helpers--Production Workers|37-2011|Janitors and Cleaners, Except Maids and Housekeeping Cleaners|8|14250|20500|20.1|41805|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5071.00|Roustabouts, Oil and Gas|47-2061|Construction Laborers|6|13290|15970|29.9|62196|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|47-2031|Rough Carpenters|5|12150|13610|35.54|73931|High school diploma or equivalent|None|Apprenticeship|Contra Costa
51-9198.00|Helpers--Production Workers|37-3011|Landscaping and Groundskeeping Workers|3|10170|14490|20.52|42676|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5011.00|Derrick Operators, Oil and Gas|37-3013|Tree Trimmers and Pruners|10|10170|14490|20.52|42676|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5012.00|Rotary Drill Operators, Oil and Gas|37-3013|Tree Trimmers and Pruners|3|10170|14490|20.52|42676|No formal educational credential|None|Short-term on-the-job training|Contra Costa
47-5013.00|Service Unit Operators, Oil, Gas, and Mining|37-3013|Tree Trimmers and Pruners|3|10170|14490|20.52|42676|No formal educational credential|None|Short-term on-the-job training|Contra Costa
53-3032.00|Heavy and Tractor-Trailer Truck Drivers|53-3033|Light Truck or Delivery Services Drivers|9|10010|13960|22.79|47406|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
53-7051.00|Industrial Truck and Tractor Operators|53-3033|Light Truck or Delivery Services Drivers|9|10010|13960|22.79|47406|High school diploma or equivalent|None|Short-term on-the-job training|Contra Costa
47-1011.00|First-Line Supervisors of Construction Trades and Extraction Workers|49-9071|Maintenance and Repair Workers, General|9|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2111.00|Electricians|49-9071|Maintenance and Repair Workers, General|9|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.01|Pipe Fitters and Steamfitters|49-9071|Maintenance and Repair Workers, General|3|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
47-2152.02|Plumbers|49-9071|Maintenance and Repair Workers, General|2|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-3031.00|Bus and Truck Mechanics and Diesel Engine Specialists|49-9071|Maintenance and Repair Workers, General|8|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
49-9012.00|Control and Valve Installers and Repairers, Except Mechanical Door|49-9071|Maintenance and Repair Workers, General|5|8500|9020|26.98|56126|High school diploma or equivalent|None|Moderate-term on-the-job training|Contra Costa
