Current SOC,Current Title,Match SOC,,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,10,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,5,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8092.00,Gas Plant Operators,53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,2,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,5,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,6,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,9,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,1,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,1,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",10,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",1,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8092.00,Gas Plant Operators,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",6,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",53-7072.00,53-7072,"Pump Operators, Except Wellhead Pumpers",4,5090,-120,0,7120,16.39,34087,No formal educational credential,None,Short-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2151.00,47-2151,Pipelayers,10,4670,320,0.1,5210,36.61,76150,No formal educational credential,None,Moderate-term on-the-job training,Contra Costa
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",47-2151.00,47-2151,Pipelayers,8,4670,320,0.1,5210,36.61,76150,No formal educational credential,None,Moderate-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47-2152.01,47-2152,Pipe Fitters and Steamfitters,3,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47-2152.02,47-2152,Plumbers,5,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2111.00,Electricians,47-2152.01,47-2152,Pipe Fitters and Steamfitters,5,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2111.00,Electricians,47-2152.02,47-2152,Plumbers,6,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2152.01,Pipe Fitters and Steamfitters,47-2152.02,47-2152,Plumbers,1,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
47-2152.02,Plumbers,47-2152.01,47-2152,Pipe Fitters and Steamfitters,1,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",47-2152.02,47-2152,Plumbers,1,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",47-2152.01,47-2152,Pipe Fitters and Steamfitters,4,4150,600,0.1,5530,55.37,115163,High school diploma or equivalent,None,Apprenticeship,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-2031.00,51-2031,Engine and Other Machine Assemblers,7,3770,290,0.1,4730,22.34,46476,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.07,Solderers and Brazers,51-2031.00,51-2031,Engine and Other Machine Assemblers,10,3770,290,0.1,4730,22.34,46476,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",51-1011.00,51-1011,First-Line Supervisors of Production and Operating Workers,10,3750,250,0.1,4200,37.8,78624,High school diploma or equivalent,Less than 5 years,None,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,49-1011.00,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7,2950,50,0,2770,44.52,92606,High school diploma or equivalent,Less than 5 years,None,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,49-1011.00,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",9,2950,50,0,2770,44.52,92606,High school diploma or equivalent,Less than 5 years,None,Contra Costa
51-4121.07,Solderers and Brazers,51-9111.00,51-9111,Packaging and Filling Machine Operators and Tenders,1,2800,200,0.1,3560,17.45,36298,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-9111.00,51-9111,Packaging and Filling Machine Operators and Tenders,2,2800,200,0.1,3560,17.45,36298,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",51-9111.00,51-9111,Packaging and Filling Machine Operators and Tenders,7,2800,200,0.1,3560,17.45,36298,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,45-1011.08,45-1011,First-Line Supervisors of Animal Husbandry and Animal Care Workers,2,2700,160,0.1,3390,23.95,49822,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",45-1011.08,45-1011,First-Line Supervisors of Animal Husbandry and Animal Care Workers,6,2700,160,0.1,3390,23.95,49822,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,45-1011.07,45-1011,First-Line Supervisors of Agricultural Crop and Horticultural Workers,3,2700,160,0.1,3390,23.95,49822,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,45-1011.05,45-1011,First-Line Supervisors of Logging Workers,5,2700,160,0.1,3390,23.95,49822,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
