Current SOC,Current Title,Match SOC,,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,
47-5011.00,"Derrick Operators, Oil and Gas",47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",5,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",5,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",4,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",8,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",3,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",1,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",5,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",6,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",10,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-5013.00,47-5013,"Service Unit Operators, Oil, Gas, and Mining",6,240,30,0.1,350,40.58,84399,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,220,20,0.1,370,19.09,39711,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,8,220,20,0.1,370,19.09,39711,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,10,220,20,0.1,370,19.09,39711,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,51-9193.00,51-9193,Cooling and Freezing Equipment Operators and Tenders,9,220,20,0.1,370,19.09,39711,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",45-2093.00,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,210,0,0,340,0,0,No formal educational credential,None,Short-term on-the-job training,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",45-2093.00,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,210,0,0,340,0,0,No formal educational credential,None,Short-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4111.00,51-4111,Tool and Die Makers,4,210,40,0.2,270,36.31,75517,Postsecondary non-degree award,None,Long-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,51-9011.00,51-9011,Chemical Equipment Operators and Tenders,4,210,20,0.1,270,26.69,55498,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-9011.00,51-9011,Chemical Equipment Operators and Tenders,1,210,20,0.1,270,26.69,55498,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",6,200,-10,-0.1,230,15.77,32803,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10,200,-10,-0.1,230,15.77,32803,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-4022.00,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",9,200,-10,-0.1,230,15.77,32803,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8091.00,51-8091,Chemical Plant and System Operators,3,190,0,0,220,23.41,48700,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,51-8091.00,51-8091,Chemical Plant and System Operators,3,190,0,0,220,23.41,48700,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2072.00,47-2072,Pile-Driver Operators,4,180,0,0,210,47.94,99708,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",47-2072.00,47-2072,Pile-Driver Operators,7,180,0,0,210,47.94,99708,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,47-2072.00,47-2072,Pile-Driver Operators,8,180,0,0,210,47.94,99708,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,47-2072.00,47-2072,Pile-Driver Operators,3,180,0,0,210,47.94,99708,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",51-8092.00,51-8092,Gas Plant Operators,7,180,-20,-0.1,170,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,51-8092.00,51-8092,Gas Plant Operators,1,180,-20,-0.1,170,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
51-8091.00,Chemical Plant and System Operators,51-8092.00,51-8092,Gas Plant Operators,9,180,-20,-0.1,170,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8092.00,51-8092,Gas Plant Operators,7,180,-20,-0.1,170,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.01,33-1021,Municipal Fire Fighting and Prevention Supervisors,3,170,0,0,100,81.62,169771,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Contra Costa
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",33-1021.02,33-1021,Forest Fire Fighting and Prevention Supervisors,7,170,0,0,100,81.62,169771,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",3,170,10,0.1,220,29.88,62153,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",7,170,10,0.1,220,29.88,62153,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",4,170,10,0.1,220,29.88,62153,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,53-5011.00,53-5011,Sailors and Marine Oilers,6,170,10,0,230,23.35,48568,No formal educational credential,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-5011.00,53-5011,Sailors and Marine Oilers,10,170,10,0,230,23.35,48568,No formal educational credential,None,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7021.00,53-7021,Crane and Tower Operators,1,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,2,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,2,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,10,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,53-7032.00,53-7032,Excavating and Loading Machine and Dragline Operators,8,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,53-7033.00,53-7033,"Loading Machine Operators, Underground Mining",6,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,53-7041.00,53-7041,Hoist and Winch Operators,3,150,-20,-0.1,140,26.24,54570,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4012.00,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",9,140,40,0.3,200,0,0,Postsecondary non-degree award,None,Moderate-term on-the-job training,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-4034.00,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4,140,0,0,150,21.08,43846,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-2092.00,51-2092,Team Assemblers,5,130,-10,-0.1,140,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,19-4093.00,19-4093,Forest and Conservation Technicians,4,120,10,0.1,160,50.8,105671,Bachelor's degree,None,Moderate-term on-the-job training,Contra Costa
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",43-5041.00,43-5041,"Meter Readers, Utilities",1,100,-20,-0.1,80,47.23,98230,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,1,100,-20,-0.2,70,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,3,100,-20,-0.2,70,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-3051.00,49-3051,Motorboat Mechanics and Service Technicians,2,100,-20,-0.2,70,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-3052.00,49-3052,Motorcycle Mechanics,8,100,-20,-0.2,70,0,0,High school diploma or equivalent,None,Long-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,51-4032.00,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",9,90,-10,-0.1,80,24.97,51942,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4032.00,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6,90,-10,-0.1,80,24.97,51942,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",51-4023.00,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",9,80,-30,-0.3,40,20.64,42920,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9011.00,Chemical Equipment Operators and Tenders,51-4023.00,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",5,80,-30,-0.3,40,20.64,42920,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-4012.00,53-4012,Locomotive Firers,5,80,-40,-0.5,10,0,0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4035.00,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,70,-10,-0.2,50,23.14,48131,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-4052.00,51-4052,"Pourers and Casters, Metal",8,70,-20,-0.3,50,22.25,46266,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4061.00,51-4061,"Model Makers, Metal and Plastic",3,70,-20,-0.3,50,22.25,46266,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1011.00,53-1011,Aircraft Cargo Handling Supervisors,2,70,0,0,80,0,0,High school diploma or equivalent,Less than 5 years,None,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1021.00,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",7,70,0,0,80,0,0,High school diploma or equivalent,Less than 5 years,None,Contra Costa
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",53-1031.00,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,4,70,0,0,80,0,0,High school diploma or equivalent,Less than 5 years,None,Contra Costa
51-1011.00,First-Line Supervisors of Production and Operating Workers,53-1031.00,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,10,70,0,0,80,0,0,High school diploma or equivalent,Less than 5 years,None,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-3092.00,49-3092,Recreational Vehicle Service Technicians,10,60,0,0,60,23.97,49841,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",1,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.07,Solderers and Brazers,51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",3,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",5,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",9,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",1,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",51-7041.00,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",6,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.06,"Welders, Cutters, and Welder Fitters",51-7042.00,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",9,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8092.00,Gas Plant Operators,51-8013.00,51-8013,Power Plant Operators,3,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8013.00,51-8013,Power Plant Operators,10,60,10,0.2,90,15.44,32117,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-6064.00,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",8,50,0,-0.1,40,15.5,32240,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",45-3011.00,45-3011,Fishers and Related Fishing Workers,9,40,0,0,70,17.98,37387,No formal educational credential,None,Short-term on-the-job training,Contra Costa
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",6,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",4,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-5031.00,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",9,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,47-5042.00,47-5042,Mine Cutting and Channeling Machine Operators,2,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",47-5051.00,47-5051,"Rock Splitters, Quarry",4,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",47-5061.00,47-5061,"Roof Bolters, Mining",9,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",47-5071.00,47-5071,"Roustabouts, Oil and Gas",1,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-5081.00,47-5081,Helpers--Extraction Workers,2,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",47-5081.00,47-5081,Helpers--Extraction Workers,7,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-5081.00,47-5081,Helpers--Extraction Workers,2,40,10,0.2,70,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-9097.00,49-9097,Signal and Track Switch Repairers,7,30,0,0,30,31.39,65281,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9097.00,49-9097,Signal and Track Switch Repairers,9,30,0,0,30,31.39,65281,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
49-9071.00,"Maintenance and Repair Workers, General",49-9097.00,49-9097,Signal and Track Switch Repairers,10,30,0,0,30,31.39,65281,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8013.00,Power Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,6,30,0,0,30,31.39,65281,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-8092.00,Gas Plant Operators,49-9097.00,49-9097,Signal and Track Switch Repairers,10,30,0,0,30,31.39,65281,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9198.00,Helpers--Production Workers,51-2021.00,51-2021,"Coil Winders, Tapers, and Finishers",4,20,0,0,30,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-2021.00,51-2021,"Coil Winders, Tapers, and Finishers",7,20,0,0,30,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4121.07,Solderers and Brazers,51-2023.00,51-2023,Electromechanical Equipment Assemblers,9,20,0,0,30,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-4041.00,Machinists,51-4062.00,51-4062,"Patternmakers, Metal and Plastic",1,20,0,-0.2,10,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9111.00,Packaging and Filling Machine Operators and Tenders,51-9191.00,51-9191,Adhesive Bonding Machine Operators and Tenders,2,20,0,0,30,22.29,46366,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7051.00,Industrial Truck and Tractor Operators,51-9191.00,51-9191,Adhesive Bonding Machine Operators and Tenders,5,20,0,0,30,22.29,46366,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-4021.00,53-4021,"Railroad Brake, Signal, and Switch Operators",6,10,-10,-0.6,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,53-4021.00,53-4021,"Railroad Brake, Signal, and Switch Operators",3,10,-10,-0.6,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,8,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5011.00,"Derrick Operators, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,4,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5012.00,"Rotary Drill Operators, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,8,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,1,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5071.00,"Roustabouts, Oil and Gas",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,5,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
47-5081.00,Helpers--Extraction Workers,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,1,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,2,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7073.00,Wellhead Pumpers,47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,5,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
53-7121.00,"Tank Car, Truck, and Ship Loaders",47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,7,0,0,-0.7,0,0,0,High school diploma or equivalent,None,Moderate-term on-the-job training,Contra Costa
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",51-6061.00,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,8,0,0,-0.5,0,0,0,High school diploma or equivalent,None,Short-term on-the-job training,Contra Costa
Current SOC,Current Title,Match SOC,Shortened SOC,Match Title,Index,Base Employment,Numeric Change,% Change,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training,MSA
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",11-3051.00,Nov-51,Industrial Production Managers,1,1470,110,0.1,1220,48.21,100282,Bachelor's degree,5 years or more,None,Kern
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",11-1021.00,11-1021,General and Operations Managers,8,16530,1540,0.1,16570,46.3,96297,Bachelor's degree,5 years or more,None,Kern
51-1011.00,First-Line Supervisors of Production and Operating Workers,11-3051.00,Nov-51,Industrial Production Managers,1,1470,110,0.1,1220,48.21,100282,Bachelor's degree,5 years or more,None,Kern
51-9198.00,Helpers--Production Workers,37-2011.00,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8,20670,2000,0.1,30540,16.17,33630,No formal educational credential,None,Short-term on-the-job training,Kern
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,49-9071.00,49-9071,"Maintenance and Repair Workers, General",9,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-2111.00,Electricians,49-9071.00,49-9071,"Maintenance and Repair Workers, General",9,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-2152.01,Pipe Fitters and Steamfitters,49-9071.00,49-9071,"Maintenance and Repair Workers, General",3,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-2152.02,Plumbers,49-9071.00,49-9071,"Maintenance and Repair Workers, General",2,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,49-9071.00,49-9071,"Maintenance and Repair Workers, General",8,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9071.00,49-9071,"Maintenance and Repair Workers, General",5,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
49-9041.00,Industrial Machinery Mechanics,49-9071.00,49-9071,"Maintenance and Repair Workers, General",2,13100,1470,0.1,14870,21.18,44050,High school diploma or equivalent,None,Moderate-term on-the-job training,Kern
47-5071.00,"Roustabouts, Oil and Gas",47-2061.00,47-2061,Construction Laborers,6,12620,1390,0.1,16200,20.05,41699,No formal educational credential,None,Short-term on-the-job training,Kern
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",53-7071.00,53-7071,Gas Compressor and Gas Pumping Station Operators,4,12580,830,0.1,19550,15.12,31446,No formal educational credential,None,Short-term on-the-job training,Kern
